publication_number,filing_date,citation_publication_number
US-2019030432-A1,20170728,US-9940840-B1
US-10275752-B2,20180226,US-2016335613-A1
US-10275752-B2,20180226,US-2017083901-A1
US-10329823-B2,20160824,US-9845071-B1
US-10508010-B2,20170301,US-2016210602-A1
US-2017223106-A1,20170301,US-2016217258-A1
KR-20200006326-A,20180710,KR-20170099043-A
US-10198712-B2,20180312,US-9953288-B2
KR-20190036154-A,20170927,KR-20170099043-A
US-10524009-B2,20161209,US-2016205159-A1
US-10524009-B2,20161209,US-9998245-B2
US-10356170-B2,20160427,US-2016380852-A1
US-10440073-B2,20170411,US-2016321347-A1
US-2017024743-A1,20160712,US-2016328692-A1
US-2017024743-A1,20160712,US-2016364713-A1
KR-20190061374-A,20171127,KR-20170090579-A
US-10525933-B2,20171205,US-9845071-B1
US-10062189-B2,20171116,US-2017084063-A1
US-10021090-B2,20170111,US-2016180290-A1
US-2018004859-A1,20160630,US-2016155069-A1
US-10332093-B2,20170907,US-2016260073-A1
US-10565579-B2,20170818,US-2016155108-A1
US-2018357819-A1,20170613,US-2016210602-A1
KR-101871745-B1,20180427,KR-101755409-B1
US-10303335-B2,20161208,US-2016217258-A1
US-10280054-B2,20160304,US-2016210602-A1
US-10216195-B2,20180524,US-9940840-B1
US-10546284-B2,20160112,US-2017011396-A1
US-2018287893-A1,20170329,US-2016284033-A1
US-10570000-B2,20170831,US-2016210602-A1
KR-20190138291-A,20190604,KR-20170099043-A
US-10331124-B2,20180719,US-2017124547-A1
US-10406438-B2,20170728,US-9940840-B1
US-10275822-B2,20180426,WO-2016168699-A1
US-10275822-B2,20180426,EP-3284051-A1
US-10377343-B2,20170515,US-9845071-B1
US-10435279-B2,20160304,US-2016210602-A1
US-10095372-B2,20160314,US-2017262136-A1
US-10138100-B2,20160304,US-2016210602-A1
US-10432507-B2,20181008,US-2017171047-A1
US-10504288-B2,20180417,US-2016253745-A1
US-10071893-B2,20160923,US-2016210602-A1
KR-101954590-B1,20170413,US-2016284033-A1
US-10089679-B2,20170720,US-2017039571-A1
US-10462150-B2,20171013,US-9519932-B2
US-10462150-B2,20171013,US-9524524-B2
WO-2019100056-A1,20181120,WO-2017066002-A1
WO-2017120709-A1,20161130,CN-105672729-A
US-2019075931-A1,20180723,US-2017003666-A1
WO-2019012554-A1,20180708,US-2017083901-A1
WO-2019036495-A1,20180814,US-2016284033-A1
WO-2019036495-A1,20180814,US-2017103468-A1
US-10460289-B2,20170202,US-2017103468-A1
US-10498808-B2,20180328,US-9888107-B2
US-10134084-B1,20171117,US-2016253745-A1
WO-2019001229-A1,20180605,CN-106228436-A
WO-2019246114-A1,20190618,US-2016364744-A1
WO-2019018277-A1,20180716,WO-2016112099-A1
WO-2019019525-A1,20171211,US-2016321335-A1
US-10565577-B2,20161209,US-9576285-B2
US-10593118-B2,20180504,US-2017323158-A1
US-10124259-B2,20180123,US-2017072318-A1
KR-101970641-B1,20171214,KR-101675820-B1
US-2017076273-A1,20161202,US-2016189137-A1
US-2017076273-A1,20161202,US-2016275482-A1
US-2017076273-A1,20161202,US-9619794-B2
US-2017076273-A1,20161202,US-9934506-B2
US-10572121-B2,20180209,US-2018060439-A1
KR-20190061725-A,20171128,KR-20160128287-A
US-10485355-B2,20180723,US-2017003666-A1
KR-20180002213-U,20170111,KR-20160104564-A
US-10021099-B2,20161122,US-2017039571-A1
US-2017330187-A1,20160516,US-2016342966-A1
US-10574648-B2,20170614,US-2016328692-A1
US-10574648-B2,20170614,US-2016364713-A1
US-10264215-B1,20180110,US-2016210602-A1
US-10216830-B2,20171212,US-2016217258-A1
US-2017011276-A1,20160708,US-2016292798-A1
US-10152306-B2,20171011,US-2016203453-A1
US-2018315156-A1,20170427,US-2018300714-A1
US-2017111175-A1,20161014,US-2016284033-A1
US-10176451-B2,20160616,US-2016275390-A1
US-10176451-B2,20160616,US-2016292554-A1
US-10380666-B2,20180413,US-2016292762-A1
US-10380666-B2,20180413,US-9972039-B2
US-10037343-B1,20180123,US-2017323158-A1
US-2016259331-A1,20160304,US-2016210602-A1
US-10547809-B2,20170710,US-9916617-B2
US-10178105-B2,20160222,US-2017046680-A1
US-10146947-B1,20180517,WO-2017066002-A1
US-2017344865-A1,20170626,US-9710743-B2
US-10261475-B1,20170314,US-2017003666-A1
US-10346869-B1,20161228,US-2018157725-A1
KR-102028589-B1,20190304,JP-2019504372-A
US-10380662-B2,20160830,US-2016132891-A1
US-10475221-B2,20170505,US-2018268391-A1
TW-I679547-B,20180309,CN-105976231-A
US-10402796-B2,20160829,US-2017046680-A1
US-10540630-B2,20160415,WO-2016168699-A1
US-10540630-B2,20160415,EP-3284051-A1
US-10275710-B1,20171031,US-2016155069-A1
KR-20190080254-A,20171228,KR-20170026264-A
KR-20190076845-A,20181119,KR-20170124053-A
KR-20200006320-A,20180710,KR-20170099043-A
KR-102041560-B1,20190220,KR-20170092037-A
US-10133811-B2,20160309,US-9811813-B2
US-10263993-B2,20180119,US-2017213210-A1
US-10351400-B2,20180809,US-2016210602-A1
US-10521579-B2,20180928,US-2017357972-A1
US-10432328-B2,20180417,US-9530137-B2
US-10586266-B2,20180726,US-2018005173-A1
US-9922322-B2,20160122,US-9530137-B2
WO-2018153209-A1,20180125,CN-106204217-A
US-2018171495-A1,20171112,US-2017012893-A1
US-10217087-B2,20161208,US-2016217258-A1
US-2018190119-A1,20161230,US-9940840-B1
KR-20200006297-A,20180710,KR-20170099043-A
US-10410414-B2,20180803,US-2016210602-A1
US-10452868-B1,20190703,US-9912677-B2
US-10540832-B2,20180222,US-9940840-B1
US-10591906-B2,20180314,US-2016328767-A1
US-10591906-B2,20180314,WO-2017055119-A1
US-10505720-B2,20190716,US-2018285879-A1
US-10600116-B2,20161102,WO-2017086174-A1
US-10600116-B2,20161102,US-2018253788-A1
US-10214400-B2,20180525,US-2016210602-A1
US-10548358-B2,20170816,US-2017027248-A1
US-10062079-B2,20171116,US-9530137-B2
KR-20190061783-A,20171128,KR-101744260-B1
US-10057255-B2,20160720,US-2016162902-A1
US-10057255-B2,20160720,US-2016162903-A1
US-2017353501-A1,20160601,US-2017178245-A1
US-10008099-B2,20160817,US-2017169362-A1
US-10353388-B2,20161017,US-9940840-B1
US-2018336548-A1,20170516,US-2017076284-A1
US-2017228704-A1,20170413,US-9563890-B2
US-2017228704-A1,20170413,US-9576285-B2
US-2017228704-A1,20170413,US-9704151-B2
US-2017308731-A1,20170711,US-2017357972-A1
US-2018109917-A1,20171031,US-2016132891-A1
US-10303992-B2,20180514,US-2016275390-A1
US-10303992-B2,20180514,US-2016292554-A1
US-10303992-B2,20180514,US-2016371576-A1
US-10303992-B2,20180514,US-9626610-B2
US-10303992-B2,20180514,US-9646237-B2
US-10303992-B2,20180514,US-9710743-B2
US-2017200046-A1,20170111,US-2016210602-A1
US-2018039699-A1,20160802,US-2016328787-A1
US-10007813-B2,20160310,US-2016203667-A1
US-10007813-B2,20160310,US-2016203466-A1
US-10007813-B2,20160310,US-2016371513-A1
US-10387878-B2,20160222,US-2017046680-A1
US-10486951-B2,20170302,US-2016210602-A1
US-10360648-B1,20160622,US-2016335613-A1
US-10360648-B1,20160622,US-2017083901-A1
US-10333921-B2,20160408,US-9530137-B2
US-10410190-B1,20180731,WO-2017098519-A1
US-10558963-B2,20161014,US-2017011396-A1
US-10515519-B2,20181121,US-9607201-B1
US-10586199-B2,20180514,US-2017091837-A1
US-10586199-B2,20180514,US-9928529-B2
US-10254764-B2,20170530,US-9940840-B1
KR-20200006314-A,20180710,KR-20170099043-A
US-10489694-B2,20180116,US-2018013916-A1
US-10489694-B2,20180116,US-10142512-B2
KR-102052344-B1,20180611,KR-20170026264-A
US-10460304-B2,20181212,US-2017004479-A1
US-10459454-B2,20170901,US-9940840-B1
US-10430898-B2,20180730,US-2016284033-A1
US-10430898-B2,20180730,US-2017103468-A1
US-10558824-B1,20190703,US-9912677-B2
US-10579981-B2,20170510,US-2016196549-A1
US-10242218-B2,20171023,US-2016285954-A1
KR-20190064288-A,20171130,KR-101801846-B1
US-2016313876-A1,20160422,US-2017180961-A1
US-2017070761-A1,20161118,US-9609037-B2
US-10339622-B1,20180302,US-2016321666-A1
CN-107886392-A,20171031,CN-105550832-A
CN-106650496-A,20161216,CN-106230851-A
CN-106790265-A,20170210,CN-106230851-A
US-2016247154-A1,20160223,US-2016210602-A1
US-10148376-B1,20180509,US-9998245-B2
US-10552639-B1,20190711,US-9912677-B2
US-9858603-B2,20160202,US-2016188915-A1
US-9858603-B2,20160202,US-2016203466-A1
US-9858603-B2,20160202,US-2016371513-A1
US-10565764-B2,20180409,US-9740372-B2
US-10410076-B2,20180212,US-2017357972-A1
US-10599156-B2,20180727,US-2017124547-A1
US-10068284-B1,20171228,US-2016217515-A1
US-10068284-B1,20171228,US-2016284008-A1
US-10316553-B2,20160120,US-9845071-B1
US-10580244-B2,20181205,US-2017032288-A1
US-10535047-B1,20161115,US-2017344975-A1
US-10585953-B1,20171229,US-2018300714-A1
US-2018374372-A1,20171215,US-2016342690-A1
CN-107507075-A,20170926,CN-105787787-A
US-2016209983-A1,20160330,US-2016328767-A1
TW-I674788-B,20180903,WO-2018115567-A1
US-10440102-B2,20161208,US-2016217258-A1
US-10417543-B2,20180716,US-2016275390-A1
US-10417543-B2,20180716,US-2016292554-A1
US-10417543-B2,20180716,US-2016371576-A1
US-10417543-B2,20180716,US-9626610-B2
US-10417543-B2,20180716,US-9646237-B2
US-10417543-B2,20180716,US-9710743-B2
US-10491153-B2,20170804,US-2016307413-A1
US-10580058-B2,20180612,US-2016284008-A1
CN-107196989-A,20170321,CN-106230851-A
US-10071891-B2,20160304,US-2016210602-A1
KR-20190100789-A,20180221,KR-20160113532-A
US-10257724-B2,20180312,US-2017103468-A1
US-10445696-B2,20170103,US-2017116572-A1
US-10515715-B1,20190625,US-2018308143-A1
US-10019238-B2,20160622,US-2016203538-A1
US-10019238-B2,20160622,US-2016203544-A1
KR-102060274-B1,20190410,KR-101716403-B1
US-10346400-B2,20170124,US-2017352051-A1
US-10356027-B2,20170203,US-2018060439-A1
WO-2020019785-A1,20190424,CN-105976231-A
KR-102021311-B1,20190214,KR-20180007081-A
US-10354240-B2,20171212,US-9530137-B2
US-10147284-B2,20170622,US-2016217258-A1
US-10559026-B2,20180207,US-9916617-B2
US-10419446-B2,20170710,US-2017103468-A1
US-10516997-B2,20180914,US-2017357972-A1
WO-2019030050-A1,20180731,WO-2016182223-A1
WO-2018209159-A1,20180510,US-2016321666-A1
WO-2018218678-A1,20170602,CN-106372834-A
US-10397000-B2,20170814,US-2016132704-A1
US-10419933-B2,20180404,US-2017357972-A1
CN-107808454-A,20171031,CN-106297010-A
EP-3518190-A1,20190130,US-2016217356-A1
US-10282727-B2,20161014,US-2017357972-A1
US-10234871-B2,20180102,US-9940840-B1
US-10154084-B2,20170113,US-9530137-B2
US-10291627-B2,20161017,US-2018285879-A1
US-2019035044-A1,20180726,US-2018285852-A1
KR-20200011728-A,20180725,KR-20180064326-A
WO-2019104951-A1,20180517,CN-106204240-A
US-9959531-B2,20160530,US-9530137-B2
KR-101868112-B1,20171030,KR-20170096463-A
US-10391361-B2,20160225,US-9819561-B2
US-10027796-B1,20170324,US-2017124527-A1
US-10026118-B2,20160222,US-2017046680-A1
KR-101955504-B1,20171120,US-2016284033-A1
US-10395252-B2,20180504,US-2017039571-A1
TW-I646487-B,20170623,WO-2017066002-A1
US-10027611-B2,20160318,US-2016210602-A1
US-10516707-B2,20170217,US-2016321347-A1
US-10489849-B2,20160113,US-2016203544-A1
US-10484490-B2,20171005,US-2016335679-A1
US-10484490-B2,20171005,US-2016335675-A1
US-10484490-B2,20171005,US-9519932-B2
US-10484490-B2,20171005,US-9524524-B2
KR-20200006237-A,20180710,KR-20170099043-A
US-10484834-B1,20190724,US-9858603-B2
US-10421542-B2,20170316,US-2016292798-A1
WO-2019094828-A1,20181109,WO-2017070469-A1
US-10599957-B2,20181026,US-2017011105-A1
WO-2018126345-A1,20170104,CN-106408369-A
WO-2019181127-A1,20181225,WO-2017145510-A1
WO-2018232493-A1,20180622,WO-2017066002-A1
US-9723434-B1,20160524,US-2016275483-A1
WO-2020014379-A1,20190710,US-2016328788-A1
WO-2018205329-A1,20170608,CN-106297010-A
WO-2019083072-A1,20171031,KR-20160137459-A
WO-2018231991-A1,20180613,US-2016285954-A1
WO-2019180523-A1,20190304,CN-106296359-A
WO-2019245441-A1,20190619,SE-1651711-A1
WO-2018126424-A1,20170105,WO-2016188210-A1
WO-2018040762-A1,20170717,CN-106327266-A
KR-20200006272-A,20180710,KR-20170099043-A
US-10558938-B2,20181119,US-2017091837-A1
US-10558938-B2,20181119,US-9928529-B2
US-10346794-B2,20160304,US-2016210602-A1
US-10276025-B2,20180604,US-2016162863-A1
US-10142347-B2,20160404,US-2017046680-A1
US-10503961-B2,20180514,US-2018033066-A1
KR-102041977-B1,20190410,KR-101706889-B1
FR-3075424-A1,20171220,US-2017103468-A1
CN-106780033-A,20161216,CN-105976231-A
EP-3444771-A1,20180713,US-2017103468-A1
EP-3413601-A1,20180604,WO-2017043746-A1
US-10341105-B2,20170607,US-2016321278-A1
US-10147076-B2,20180201,US-9563890-B2
US-10147076-B2,20180201,US-9576285-B2
US-10147076-B2,20180201,US-9704151-B2
KR-20180115398-A,20170413,US-2016284033-A1
US-10366388-B2,20160413,US-2017213210-A1
WO-2018214361-A1,20170928,WO-2017063356-A1
US-9990504-B1,20171218,WO-2017066002-A1
