publication_number,filing_date,cpc_code
US-2016328727-A1,20160504,G06Q30/06
US-2016253736-A1,20160307,G06Q30/06
US-2018052916-A1,20160817,G06Q30/06
EP-3404610-A1,20160525,G06Q30/06
DE-102016011876-A1,20161004,G06Q30/06
KR-20170092412-A,20160203,G06Q30/06
SG-10201606364P-A,20160802,G06Q30/06
US-10346552-B2,20160719,G06Q30/06
US-10346552-B2,20160719,G06Q30/06
US-2016143004-A1,20160126,G06Q30/06
KR-101718747-B1,20160928,G06Q30/06
US-2018365756-A1,20161124,G06Q30/06
US-2018365756-A1,20161124,G06Q30/06
US-2017337599-A1,20160203,G06Q30/06
US-2017337599-A1,20160203,G06Q30/06
US-2017337599-A1,20160203,G06Q30/06
US-2016275543-A1,20160321,G06Q30/06
US-2016162982-A1,20160216,G06Q30/06
US-2016205113-A1,20160318,G06Q30/06
US-2016205113-A1,20160318,G06Q30/06
US-2016125379-A1,20160112,G06Q30/06
CA-2984634-C,20160505,G06Q30/06
US-2017236194-A1,20161122,G06Q30/06
US-2017236194-A1,20161122,G06Q30/06
US-2016148544-A1,20160129,G06Q30/06
US-2016148544-A1,20160129,G06Q30/06
US-2017076359-A1,20161104,G06Q30/06
US-2016328680-A1,20160715,G06Q30/06
US-2017186010-A1,20161219,G06Q30/06
JP-WO2016152277-A1,20160205,G06Q30/06
US-2016358160-A1,20160818,G06Q30/06
US-2016267449-A1,20160126,G06Q30/06
US-2016267449-A1,20160126,G06Q30/06
US-2016267403-A1,20160523,G06Q30/06
US-9519932-B2,20160216,G06Q30/06
US-9519932-B2,20160216,G06Q30/06
WO-2016190805-A1,20160525,G06Q30/06
WO-2017111504-A1,20161222,G06Q30/06
US-2017169362-A1,20161107,G06Q30/06
RU-2017141935-A,20160502,G06Q30/06
RU-2017141935-A,20160502,G06Q30/06
KR-20160137459-A,20161108,G06Q30/06
US-2017068779-A1,20160818,G06Q30/06
US-2016292697-A1,20160309,G06Q30/06
US-2016321335-A1,20160708,G06Q30/06
US-2016232460-A1,20160415,G06Q30/06
US-2016197942-A1,20160316,G06Q30/06
US-2016267463-A1,20160309,G06Q30/06
US-2018060928-A1,20160830,G06Q30/06
KR-20170128444-A,20160325,G06Q30/06
KR-20180098327-A,20161213,G06Q30/06
KR-101716403-B1,20161019,G06Q30/06
KR-101716403-B1,20161019,G06Q30/06
US-10462240-B2,20160819,G06Q30/06
US-2016350417-A1,20160812,G06Q30/06
US-10057385-B1,20160531,G06Q30/06
US-2016246876-A1,20160428,G06Q30/06
US-10296898-B2,20160818,G06Q30/06
US-10296898-B2,20160818,G06Q30/06
TW-201631527-A,20160122,G06Q30/06
US-2016217515-A1,20160122,G06Q30/06
US-2017124527-A1,20161111,G06Q30/06
US-2017124527-A1,20161111,G06Q30/06
KR-20170092768-A,20160204,G06Q30/06
US-10204357-B2,20160926,G06Q30/06
US-10204357-B2,20160926,G06Q30/06
US-10204357-B2,20160926,G06Q30/06
KR-20180128976-A,20161129,G06Q30/06
KR-101754734-B1,20160922,G06Q30/06
KR-101754734-B1,20160922,G06Q30/06
KR-101857499-B1,20161122,G06Q30/06
WO-2017105761-A1,20161118,G06Q30/06
WO-2017063356-A1,20160427,G06Q30/06
US-9727867-B2,20160421,G06Q30/06
US-9727867-B2,20160421,G06Q30/06
WO-2017119094-A1,20160107,G06Q30/06
KR-101842276-B1,20160824,G06Q30/06
KR-101842276-B1,20160824,G06Q30/06
KR-20180064326-A,20161110,G06Q30/06
US-2018204144-A1,20161223,G06Q30/06
US-2019012501-A1,20161206,G06Q30/06
US-2017091851-A1,20160923,G06Q30/06
US-2017052660-A1,20161101,G06Q30/06
US-2017052660-A1,20161101,G06Q30/06
US-10579980-B2,20160603,G06Q30/06
US-10579980-B2,20160603,G06Q30/06
KR-101755409-B1,20160920,G06Q30/06
KR-101755409-B1,20160920,G06Q30/06
KR-101783598-B1,20160121,G06Q30/06
WO-2017214816-A1,20160613,G06Q30/06
US-10022632-B1,20160316,G06Q30/06
KR-20170107581-A,20160205,G06Q30/06
KR-20170112332-A,20160331,G06Q30/06
JP-WO2016170767-A1,20160415,G06Q30/06
US-2017024797-A1,20160316,G06Q30/06
US-2016217415-A1,20160404,G06Q30/06
KR-20170089656-A,20160127,G06Q30/06
US-10352719-B2,20160615,G06Q30/06
US-10352719-B2,20160615,G06Q30/06
US-10352719-B2,20160615,G06Q30/06
US-2017053275-A1,20160711,G06Q30/06
TW-201731429-A,20160310,G06Q30/06
TW-I596557-B,20160328,G06Q30/06
WO-2017039369-A1,20160902,G06Q30/06
WO-2016135640-A1,20160224,G06Q30/06
WO-2017115619-A1,20161206,G06Q30/06
WO-2017127962-A1,20160125,G06Q30/06
US-2016132939-A1,20160119,G06Q30/06
KR-101676302-B1,20160323,G06Q30/06
US-2018005298-A1,20160201,G06Q30/06
US-2018005298-A1,20160201,G06Q30/06
US-2018005298-A1,20160201,G06Q30/06
KR-20180024213-A,20160829,G06Q30/06
KR-20180024213-A,20160829,G06Q30/06
KR-101879829-B1,20161110,G06Q30/06
KR-20170088716-A,20160125,G06Q30/06
US-2018189849-A1,20160628,G06Q30/06
US-2016357714-A1,20160818,G06Q30/06
US-2016357714-A1,20160818,G06Q30/06
KR-20170093516-A,20160205,G06Q30/06
KR-101687515-B1,20160601,G06Q30/06
KR-101687515-B1,20160601,G06Q30/06
KR-101687515-B1,20160601,G06Q30/06
KR-20170081113-A,20160101,G06Q30/06
KR-20160101688-A,20160217,G06Q30/06
US-2016328787-A1,20160504,G06Q30/06
KR-101876623-B1,20160422,G06Q30/06
KR-101876623-B1,20160422,G06Q30/06
TW-I579788-B,20160328,G06Q30/06
WO-2018053931-A1,20161128,G06Q30/06
WO-2017056444-A1,20160916,G06Q30/06
US-9619794-B2,20160304,G06Q30/06
US-9619794-B2,20160304,G06Q30/06
US-2018330295-A1,20161121,G06Q30/06
US-10558813-B2,20160108,G06Q30/06
US-10558813-B2,20160108,G06Q30/06
US-10558813-B2,20160108,G06Q30/06
TW-I575467-B,20160331,G06Q30/06
KR-20180016016-A,20160805,G06Q30/06
KR-20170070783-A,20160603,G06Q30/06
KR-101749242-B1,20160125,G06Q30/06
KR-101675128-B1,20160106,G06Q30/06
KR-20170096284-A,20160215,G06Q30/06
KR-20160034274-A,20160311,G06Q30/06
